               REPORTE DE PRUEBA DE PEDIDOS
==========================================================
  FECHA         DNI        CANTIDAD     CODIGO PRODUCTO     
27/08/2023    12663268         6           XSD-310   
27/08/2023    17913944         4           XLF-273   
27/08/2023    26233063         4           JFC-432   
27/08/2023    38913831         3           FLW-631   
27/08/2023    32565207         4           UXG-019   
27/08/2023    57263719         2           OTH-462   
27/08/2023    89863424         4           SSE-115   
27/08/2023    67418025         5           EVN-510   
27/08/2023    26976877         4           YUQ-590   
27/08/2023    57690875         6           XTE-383   
27/08/2023    84165595         3           JFC-432   
27/08/2023    63437380         2           PJG-338   
27/08/2023    22777006         2           XLF-273   
27/08/2023    52097922         5           ISU-815   
27/08/2023    13245501         5           JCW-489   
27/08/2023    22777006         3           YYK-309   
27/08/2023    95751208         4           BRD-969   
27/08/2023    63437380         5           YEZ-591   
27/08/2023    37110873         5           YZD-580   
27/08/2023    25171011         1           CIM-038   
27/08/2023    60574154         6           III-576   
27/08/2023    78757121         4           KJX-387   
28/08/2023    45828535         6           TZY-323   
28/08/2023    57263719         3           BWD-036   
28/08/2023    23928045         3           OXP-732   
28/08/2023    73786035         4           DEN-125   
28/08/2023    79464412         5           CJE-310   
28/08/2023    35584593         4           AVM-258   
28/08/2023    94080926         5           NMV-644   
28/08/2023    85871751         2           MYC-756   
28/08/2023    57690875         3           CIM-038   
28/08/2023    43043986         5           QFP-254   
28/08/2023    44679500         1           AWB-345   
28/08/2023    32565207         5           FVQ-662   
28/08/2023    69975105         6           HFM-021   
28/08/2023    89298238         2           QFP-254   
28/08/2023    43053402         6           FVQ-662   
28/08/2023    71463316         4           BCN-855   
28/08/2023    89148118         5           XLF-273   
28/08/2023    95161027         1           OQI-373   
28/08/2023    78922174         5           TKM-141   
28/08/2023    43877279         5           QUU-384   
28/08/2023    40112594         2           BCK-361   
28/08/2023    66409237         4           UXG-019   
28/08/2023    79372768         6           QVJ-982   
28/08/2023    24995742         3           YMU-875   
28/08/2023    80048864         3           BCK-361   
28/08/2023    71463316         3           UWA-476   
28/08/2023    59407188         6           BIT-434   
28/08/2023    71378466         6           ARS-231   
28/08/2023    77484838         1           UWA-476   
28/08/2023    17972674         1           ZWF-661   
28/08/2023    89863424         6           OTH-462   
28/08/2023    26976877         4           SSE-115   
28/08/2023    42157219         2           KCO-488   
28/08/2023    42157219         5           OTS-581   
28/08/2023    35565959         2           DFJ-952   
28/08/2023    42928709         5           NSM-283   
28/08/2023    32904023         3           KJX-387   
28/08/2023    26233063         3           KSO-608   
28/08/2023    79475585         6           KQQ-136   
28/08/2023    80048864         1           PPX-620   
28/08/2023    76388967         5           SJQ-827   
28/08/2023    86241107         2           CIM-038   
28/08/2023    60574154         5           KDA-627   
28/08/2023    62324793         2           OPJ-039   
29/08/2023    16552775         5           CNN-411   
29/08/2023    69639726         1           DON-719   
29/08/2023    16151792         1           AQS-362   
29/08/2023    44229880         3           SNY-500   
29/08/2023    53166028         3           ONB-903   
29/08/2023    71463316         5           KCO-488   
29/08/2023    87800799         2           WZD-331   
29/08/2023    31193794         5           BXY-119   
29/08/2023    98140264         2           DFF-034   
29/08/2023    43053402         2           VRR-793   
29/08/2023    20864087         5           YUQ-590   
29/08/2023    87800799         3           BTO-226   
29/08/2023    45828535         5           YMU-875   
29/08/2023    53166028         1           QHC-492   
29/08/2023    55552996         1           SJD-818   
29/08/2023    95161027         4           FQG-293   
29/08/2023    25171011         3           VCL-867   
29/08/2023    71463316         6           EBI-299   
29/08/2023    45877001         2           PJG-338   
29/08/2023    77642521         5           DFJ-952   
29/08/2023    88956889         6           HFM-021   
29/08/2023    86241107         2           FEG-454   
29/08/2023    81114108         2           RBE-789   
29/08/2023    52097922         2           OWN-701   
29/08/2023    77484838         3           UDR-957   
29/08/2023    62324793         1           FQG-293   
29/08/2023    71378466         3           XSD-310   
29/08/2023    29847168         1           BCK-361   
29/08/2023    46462527         3           KWP-672   
29/08/2023    79464412         2           NSM-283   
29/08/2023    76388967         5           EBI-299   
30/08/2023    83505958         5           TYF-885   
30/08/2023    42928709         4           QIL-029   
30/08/2023    15210391         2           DON-719   
30/08/2023    69975105         6           WZD-331   
30/08/2023    89429489         6           VCL-867   
30/08/2023    32821689         3           ONB-903   
30/08/2023    62566305         5           GXF-122   
30/08/2023    62324793         5           XBD-314   
30/08/2023    35565959         5           JXD-139   
30/08/2023    32565207         4           TKM-141   
30/08/2023    89863424         3           QRC-609   
30/08/2023    97403853         4           GBJ-693   
30/08/2023    96659352         3           KQQ-136   
30/08/2023    79140840         1           OTH-462   
30/08/2023    23928045         5           TKM-141   
30/08/2023    48184351         2           KQA-580   
30/08/2023    45877001         6           KBY-991   
30/08/2023    73185299         3           AVM-258   
30/08/2023    26290971         3           GKG-558   
30/08/2023    85949265         5           VRR-793   
30/08/2023    97403853         6           KQQ-136   
30/08/2023    86402303         6           RBE-789   
30/08/2023    96258632         2           QHC-492   
30/08/2023    63437380         4           AWB-345   
30/08/2023    87800799         6           GBD-525   
30/08/2023    15210391         2           AQS-362   
30/08/2023    19829266         3           TXM-139   
30/08/2023    50365593         5           AFL-718   
31/08/2023    90237332         3           QFP-254   
31/08/2023    42798099         6           CNN-411   
31/08/2023    81114108         5           DFF-034   
31/08/2023    90365520         6           KBY-991   
31/08/2023    35584593         4           SSD-176   
31/08/2023    97403853         3           YJD-279   
31/08/2023    46462527         6           LWG-915   
31/08/2023    93845419         6           QIL-029   
31/08/2023    73185299         3           OTH-462   
31/08/2023    87800799         2           VRR-793   
31/08/2023    64394265         5           OFS-384   
31/08/2023    45828535         4           XSD-310   
31/08/2023    69975105         6           TMJ-043   
31/08/2023    86402303         6           HFM-021   
31/08/2023    87813843         1           OQI-373   
31/08/2023    54716824         1           UDR-957   
31/08/2023    37110873         4           VDD-853   
31/08/2023    25171011         6           AWB-345   
31/08/2023    67418025         2           FEG-454   
31/08/2023    22777006         1           FCN-617   
31/08/2023    48467976         5           JDQ-505   
31/08/2023    71463316         4           AWT-354   
31/08/2023    37110873         4           QUU-384   
31/08/2023    89148118         6           EBI-299   
31/08/2023    45783712         2           YUQ-590   
31/08/2023    13245501         2           QIL-029   
31/08/2023    54716824         6           ZEX-027   
31/08/2023    62324793         1           LDR-510   
01/09/2023    84165595         6           HFM-021   
01/09/2023    86241107         2           UXG-019   
01/09/2023    79420973         5           SSE-115   
01/09/2023    13245501         3           VXS-438   
01/09/2023    73185299         3           QHC-492   
01/09/2023    43043986         5           SSD-176   
01/09/2023    22280452         3           UCX-285   
01/09/2023    77191257         6           ZEX-027   
01/09/2023    78922174         3           XBD-314   
01/09/2023    49087435         2           III-576   
01/09/2023    42798099         5           TMN-884   
01/09/2023    17913944         1           DEN-125   
01/09/2023    78078115         4           FQG-293   
01/09/2023    96659352         4           ADX-669   
01/09/2023    93160528         1           YYU-726   
01/09/2023    77191257         5           QVJ-982   
01/09/2023    31611146         4           FVQ-662   
01/09/2023    89298238         4           UJV-290   
01/09/2023    28390487         2           GLC-370   
01/09/2023    89148118         1           AFL-718   
01/09/2023    71984468         1           TZY-323   
01/09/2023    40348917         1           BMJ-772   
01/09/2023    32904023         4           DUG-251   
01/09/2023    19829266         3           RDT-761   
01/09/2023    16151792         6           IDO-503   
01/09/2023    87813843         3           XSD-310   
01/09/2023    41036366         4           QVJ-982   
01/09/2023    43488351         6           DIQ-718   
01/09/2023    91897732         5           XZR-640   
01/09/2023    83236386         5           UJV-290   
01/09/2023    79140840         4           JXD-139   
01/09/2023    84165595         1           DFJ-952   
01/09/2023    35565959         1           BZS-261   
01/09/2023    50365593         3           LWG-915   
02/09/2023    88956889         6           UWA-476   
02/09/2023    79372768         4           GLC-370   
02/09/2023    89863424         1           FVB-607   
02/09/2023    15210391         4           VXS-438   
02/09/2023    32821689         5           MTF-868   
02/09/2023    98140264         3           CJE-310   
02/09/2023    13245501         5           BXY-119   
02/09/2023    94080926         5           TXM-139   
02/09/2023    59407188         3           LYZ-614   
02/09/2023    15210391         3           TZY-323   
02/09/2023    84165595         6           RDT-761   
02/09/2023    20864087         6           JDQ-505   
02/09/2023    89429489         3           BXY-119   
02/09/2023    88956889         4           MYC-756   
02/09/2023    41036366         4           SJD-818   
02/09/2023    24995742         3           DON-719   
02/09/2023    69324480         1           DIQ-718   
02/09/2023    37110873         1           SSD-176   
02/09/2023    50375303         1           AFL-718   
02/09/2023    32904023         4           QFP-254   
02/09/2023    55552996         1           QTK-083   
02/09/2023    90237332         3           TKM-141   
02/09/2023    90365520         5           VDD-853   
02/09/2023    33397650         6           VJI-529   
02/09/2023    50365593         6           TMN-884   
02/09/2023    79420973         3           GXF-122   
02/09/2023    50365593         6           JDC-028   
02/09/2023    33713901         2           UWA-476   
02/09/2023    79372768         5           EUZ-452   
02/09/2023    43053402         6           MMA-577   
02/09/2023    66409237         6           AWT-354   
02/09/2023    95161027         5           III-576   
02/09/2023    53166028         3           TXM-139   
02/09/2023    78922174         6           EJW-346   
02/09/2023    78078115         5           DFJ-952   
02/09/2023    20864087         1           JFC-432   
02/09/2023    45783712         6           SSD-176   
02/09/2023    77191257         2           KWP-672   
02/09/2023    29337157         4           HFM-021   
02/09/2023    79901434         6           OBI-353   
02/09/2023    57263719         4           DOV-560   
02/09/2023    98140264         1           BRD-969   
02/09/2023    40348917         2           DFJ-952   
02/09/2023    86828079         5           QIL-029   
02/09/2023    79140840         5           QRC-609   
02/09/2023    89298238         4           YOT-530   
02/09/2023    20864087         4           BXY-119   
02/09/2023    66409237         4           DFF-034   
02/09/2023    42928709         5           OQI-373   
03/09/2023    71378466         2           FVQ-662   
03/09/2023    99842319         2           DUG-251   
03/09/2023    26290971         3           PVZ-181   
03/09/2023    79901434         5           CSZ-863   
03/09/2023    40112594         4           FVQ-662   
03/09/2023    16552775         6           AWB-345   
03/09/2023    23928045         2           TMN-884   
03/09/2023    69324480         3           UOD-420   
03/09/2023    33713901         1           VVS-017   
03/09/2023    43043986         1           ZEX-027   
03/09/2023    16151792         1           AQS-362   
03/09/2023    73535476         5           UWA-476   
03/09/2023    62566305         1           AVM-258   
03/09/2023    57263719         5           OTH-462   
03/09/2023    52097922         6           XSD-310   
03/09/2023    96258632         2           CRU-009   
03/09/2023    89429489         1           UXG-019   
03/09/2023    50375303         5           CRU-009   
03/09/2023    52097922         2           UTN-601   
03/09/2023    73535476         4           FLJ-040   
03/09/2023    12663268         4           YYU-726   
03/09/2023    96659352         3           GBJ-693   
03/09/2023    37110873         6           FCN-617   
03/09/2023    52097922         4           XZG-521   
03/09/2023    42798099         2           OQI-373   
03/09/2023    54761731         5           OTS-581   
03/09/2023    26976877         4           VTV-269   
03/09/2023    79901434         2           ZEX-027   
03/09/2023    95751208         4           UOD-420   
03/09/2023    15561764         2           GBJ-693   
03/09/2023    32904023         6           RBE-789   
03/09/2023    59407188         1           OWN-701   
04/09/2023    85949265         4           JFC-432   
04/09/2023    38913831         3           BCN-855   
04/09/2023    45783712         4           YMU-875   
04/09/2023    50375303         4           VXS-438   
04/09/2023    88995291         3           MTF-868   
04/09/2023    26233063         1           UWA-476   
04/09/2023    44229880         4           JXD-139   
04/09/2023    36380447         2           HLR-109   
04/09/2023    12663268         3           RAH-420   
04/09/2023    91897732         2           PFD-286   
04/09/2023    31611146         4           YOT-530   
04/09/2023    42928709         4           XLF-273   
04/09/2023    50375303         5           KQA-580   
04/09/2023    69975105         5           FQG-293   
04/09/2023    50375303         5           YJD-279   
04/09/2023    76388967         6           PFD-286   
04/09/2023    48184351         1           TXM-139   
04/09/2023    33397650         3           IHG-413   
04/09/2023    25171011         4           DFJ-952   
04/09/2023    91897732         2           TMN-884   
04/09/2023    66409237         3           BRD-969   
04/09/2023    77191257         4           ZWF-661   
04/09/2023    32565207         6           IDO-503   
04/09/2023    63437380         5           III-576   
04/09/2023    42928709         5           QFP-254   
04/09/2023    88956889         2           YUQ-590   
04/09/2023    94080926         5           SPR-580   
04/09/2023    69324480         5           JCW-489   
04/09/2023    35565959         5           QRC-609   
04/09/2023    88956889         3           UWA-476   
04/09/2023    27912250         3           QFR-958   
05/09/2023    42798099         1           AQS-362   
05/09/2023    13245501         5           KJX-387   
05/09/2023    13245501         5           XOA-735   
05/09/2023    12663268         1           BMJ-772   
05/09/2023    67418025         6           YYU-726   
05/09/2023    69324480         1           VJI-529   
05/09/2023    16151792         3           TZY-323   
05/09/2023    55552996         6           UXG-019   
05/09/2023    60574154         2           BWD-036   
05/09/2023    22280452         2           XSD-310   
05/09/2023    63437380         2           KQA-580   
05/09/2023    62566305         3           CNQ-172   
05/09/2023    46462527         4           KCO-488   
05/09/2023    93845419         5           CIM-038   
05/09/2023    89298238         3           JXD-139   
05/09/2023    89298238         3           ICX-503   
05/09/2023    73914283         3           BRD-969   
05/09/2023    54716824         3           SPR-580   
05/09/2023    64394265         1           YUQ-590   
05/09/2023    98589725         1           VRR-793   
05/09/2023    76388967         2           DOV-560   
05/09/2023    80048864         5           RDT-761   
05/09/2023    43877279         5           TYF-885   
